מספר,מקט,"תאור פריט",כמות,"תאריך קניה","מס חשבונית","סיבת החזרה"
1,SS775A,"טונר סמסונג שחור MLT-D707L SS775A",1,21/05/2020,445747,"מוצר פגום"
2,T6M19AE,"ראש דיו שחור HP 907XL T6M19AE",1,02/06/2020,446393,"מוצר פגום"
3,C2P23AE,"ראש דיו שחור HP 934XL C2P23AE",1,22/04/2020,444128,"מוצר פגום"
4,HP048AE,"ראש דיו צהוב HP 951XL CN048AE",1,22/04/2020,444128,"מוצר פגום"
5,HP046AE,"ראש דיו כחול HP 951XL  CN046AE",1,22/04/2020,444128,"מוצר פגום"
6,HP563HE,"ראש דיו שחור HP 122XL CH563HE",1,23/04/2020,444243,"מוצר פגום"
7,C2P25AE,"ראש דיו אדום HP 935XL C2P25AE",1,22/04/2020,444128,"מוצר פגום"
8,HP101Z,"ראש דיו שחור HP 650 CZ101AE",1,22/04/2020,444128,"מוצר פגום"
9,HP102Z,"ראש דיו צבעוני HP 650 CZ102AE",1,22/04/2020,444128,"מוצר פגום"
10,HPF6V25AE,"ראש דיו שחור HP 652 F6V25AE",4,22/04/2020,444128,"מוצר פגום"
11,HPF6V24AE,"ראש דיו צבעוני HP 652 F6V24AE",13,22/04/2020,444128,"מוצר פגום"
